file_name,file_id,bird_species,duration,max_amp,max_freq,max_period
Bent-Beak-Riffraff-103177.wav,103177,"1843    Bent-beak Riffraff
Name: bird_species, dtype: object",24.189416666666666,0.65138155,12000.0,8.333333333333333e-05
Bent-Beak-Riffraff-103178.wav,103178,"1842    Bent-beak Riffraff
Name: bird_species, dtype: object",49.08408333333333,0.59388316,12000.0,8.333333333333333e-05
Bent-Beak-Riffraff-103181.wav,103181,"1877    Bent-beak Riffraff
Name: bird_species, dtype: object",54.909416666666665,0.43739784,12000.0,8.333333333333333e-05
Bent-Beak-Riffraff-106265.wav,106265,"1876    Bent-beak Riffraff
Name: bird_species, dtype: object",17.737166666666667,0.26871806,12000.0,8.333333333333333e-05
Bent-Beak-Riffraff-112603.wav,112603,"1841    Bent-beak Riffraff
Name: bird_species, dtype: object",72.488,0.9534877,12000.0,8.333333333333333e-05
Bent-Beak-Riffraff-118831.wav,118831,"1875    Bent-beak Riffraff
Name: bird_species, dtype: object",33.044916666666666,0.5458703,12000.0,8.333333333333333e-05
Bent-Beak-Riffraff-123208.wav,123208,"1840    Bent-beak Riffraff
Name: bird_species, dtype: object",107.232,0.31001335,12000.0,8.333333333333333e-05
Bent-Beak-Riffraff-13505.wav,13505,"1892    Bent-beak Riffraff
Name: bird_species, dtype: object",29.80575,0.8657784,12000.0,8.333333333333333e-05
Bent-Beak-Riffraff-147433.wav,147433,"1874    Bent-beak Riffraff
Name: bird_species, dtype: object",31.128,0.2758244,12000.0,8.333333333333333e-05
Bent-Beak-Riffraff-171003.wav,171003,"1873    Bent-beak Riffraff
Name: bird_species, dtype: object",39.288,0.4863052,12000.0,8.333333333333333e-05
Bent-Beak-Riffraff-187721.wav,187721,"1872    Bent-beak Riffraff
Name: bird_species, dtype: object",86.72654166666666,0.51911634,12000.0,8.333333333333333e-05
Bent-Beak-Riffraff-194470.wav,194470,"1871    Bent-beak Riffraff
Name: bird_species, dtype: object",48.61391666666667,1.04719,12000.0,8.333333333333333e-05
Bent-Beak-Riffraff-195113.wav,195113,"1870    Bent-beak Riffraff
Name: bird_species, dtype: object",26.9845,0.47943464,12000.0,8.333333333333333e-05
Bent-Beak-Riffraff-198529.wav,198529,"1869    Bent-beak Riffraff
Name: bird_species, dtype: object",21.786125,0.7084345,12000.0,8.333333333333333e-05
Bent-Beak-Riffraff-202124.wav,202124,"1868    Bent-beak Riffraff
Name: bird_species, dtype: object",2.61225,0.9229605,12000.0,8.333333333333333e-05
Bent-Beak-Riffraff-20422.wav,20422,"1856    Bent-beak Riffraff
Name: bird_species, dtype: object",17.554291666666668,1.0350672,12000.0,8.333333333333333e-05
Bent-Beak-Riffraff-212941.wav,212941,"1867    Bent-beak Riffraff
Name: bird_species, dtype: object",64.44,1.1326376,12000.0,8.333333333333333e-05
Bent-Beak-Riffraff-214770.wav,214770,"1839    Bent-beak Riffraff
Name: bird_species, dtype: object",48.378791666666665,0.17710018,12000.0,8.333333333333333e-05
Bent-Beak-Riffraff-221677.wav,221677,"1838    Bent-beak Riffraff
Name: bird_species, dtype: object",122.1765,0.7116451,12000.0,8.333333333333333e-05
Bent-Beak-Riffraff-221678.wav,221678,"1866    Bent-beak Riffraff
Name: bird_species, dtype: object",21.02220833333333,0.4358951,12000.0,8.333333333333333e-05
